estrategia,threshold,precision,recall,f1,iou,auroc,avg_precision
F1,0.0,0.0633,0.5395,0.1133,0.0601,0.4979,0.0637
G-mean,0.059961,0.0635,0.4837,0.1123,0.0595,0.4979,0.0637
F-beta(0.5),0.0,0.0633,0.5395,0.1133,0.0601,0.4979,0.0637
