arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Rachadura,17.4175,119.0965,13.19,Crítico — intervenção imediata,False
avaria_12.ply,Rachadura,31.2072,19.7148,5.76,Crítico — intervenção imediata,False
avaria_13.ply,Rachadura,24.8413,25.9695,6.68,Crítico — intervenção imediata,False
avaria_17.ply,Rachadura,20.5932,11.9338,4.19,Crítico — intervenção imediata,False
avaria_19.ply,Rachadura,11.9130,159.7090,12.36,Crítico — intervenção imediata,False
avaria_2.ply,Rachadura,24.3655,156.7793,3.33,Crítico — intervenção imediata,False
avaria_20.ply,Rachadura,36.2255,154.8727,2.26,Crítico — intervenção imediata,False
avaria_21.ply,Rachadura,15.5852,31.6957,6.06,Crítico — intervenção imediata,False
avaria_22.ply,Rachadura,32.3472,176.0859,3.27,Crítico — intervenção imediata,False
avaria_24.ply,Rachadura,24.3189,271.0551,6.12,Crítico — intervenção imediata,False
avaria_26.ply,Rachadura,30.1404,206.0501,6.80,Crítico — intervenção imediata,False
avaria_27.ply,Rachadura,29.7697,15.0034,1.86,Crítico — intervenção imediata,False
avaria_28.ply,Rachadura,31.0312,13.7062,2.19,Crítico — intervenção imediata,False
avaria_29.ply,Rachadura,41.7561,16.0947,1.11,Crítico — intervenção imediata,False
avaria_3.ply,Rachadura,19.8849,385.9196,4.12,Crítico — intervenção imediata,False
avaria_30.ply,Rachadura,24.2656,19.4309,2.78,Crítico — intervenção imediata,False
avaria_31.ply,Rachadura,19.1737,15.2077,4.81,Crítico — intervenção imediata,False
avaria_32.ply,Rachadura,35.8419,119.5924,1.51,Crítico — intervenção imediata,False
avaria_33.ply,Rachadura,15.8480,486.4860,7.28,Crítico — intervenção imediata,False
avaria_34.ply,Rachadura,19.6646,210.6775,8.17,Crítico — intervenção imediata,False
avaria_35.ply,Rachadura,12.0526,157.2109,18.92,Crítico — intervenção imediata,False
avaria_36.ply,Rachadura,19.9744,466.7581,8.25,Crítico — intervenção imediata,False
avaria_37.ply,Rachadura,24.5005,95.3716,8.10,Crítico — intervenção imediata,False
avaria_38.ply,Rachadura,27.6277,99.9945,3.06,Crítico — intervenção imediata,False
avaria_39.ply,Rachadura,31.3404,16.3345,2.19,Crítico — intervenção imediata,False
avaria_4.ply,Rachadura,18.1745,436.0157,10.95,Crítico — intervenção imediata,False
avaria_40.ply,Rachadura,25.4545,135.0474,6.89,Crítico — intervenção imediata,False
avaria_41.ply,Rachadura,12.4261,107.0326,23.01,Crítico — intervenção imediata,False
avaria_42.ply,Rachadura,10.0331,95.0427,0.99,Crítico — intervenção imediata,False
avaria_6.ply,Rachadura,10.6022,13.0396,17.50,Crítico — intervenção imediata,False
avaria_7.ply,Rachadura,19.6917,361.7205,4.85,Crítico — intervenção imediata,False
avaria_9.ply,Rachadura,16.4397,11.9458,6.42,Crítico — intervenção imediata,False
