arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Rachadura,10.7287,132.6542,4.14,Crítico — intervenção imediata,False
avaria_12.ply,Rachadura,12.8611,26.8652,64.63,Crítico — intervenção imediata,False
avaria_13.ply,Rachadura,10.4359,33.3481,78.19,Crítico — intervenção imediata,False
avaria_17.ply,Rachadura,7.4221,12.0864,9.98,Crítico — intervenção imediata,False
avaria_19.ply,Rachadura,7.7007,157.0299,33.12,Crítico — intervenção imediata,False
avaria_2.ply,Rachadura,7.4562,596.1429,6.78,Crítico — intervenção imediata,False
avaria_20.ply,Rachadura,11.1559,193.5244,22.24,Crítico — intervenção imediata,False
avaria_21.ply,Rachadura,6.8038,47.3855,27.08,Crítico — intervenção imediata,False
avaria_22.ply,Rachadura,13.6513,231.3339,20.24,Crítico — intervenção imediata,False
avaria_23.ply,Rachadura,13.6513,231.3339,20.24,Crítico — intervenção imediata,False
avaria_24.ply,Rachadura,12.4466,273.3124,25.12,Crítico — intervenção imediata,False
avaria_25.ply,Rachadura,12.4466,273.3124,25.12,Crítico — intervenção imediata,False
avaria_26.ply,Rachadura,13.6171,320.7241,29.67,Crítico — intervenção imediata,False
avaria_27.ply,Rachadura,8.6224,18.9227,25.37,Crítico — intervenção imediata,False
avaria_28.ply,Rachadura,8.9313,21.3222,17.05,Crítico — intervenção imediata,False
avaria_29.ply,Rachadura,9.0661,21.3948,47.24,Crítico — intervenção imediata,False
avaria_3.ply,Rachadura,6.8072,447.0403,17.76,Crítico — intervenção imediata,False
avaria_30.ply,Rachadura,9.4275,20.6791,20.93,Crítico — intervenção imediata,False
avaria_31.ply,Rachadura,8.0759,18.7672,5.25,Crítico — intervenção imediata,False
avaria_32.ply,Rachadura,7.7152,139.5451,37.38,Crítico — intervenção imediata,False
avaria_33.ply,Rachadura,6.8834,592.4589,57.52,Crítico — intervenção imediata,False
avaria_34.ply,Rachadura,11.1686,223.6303,9.14,Crítico — intervenção imediata,False
avaria_35.ply,Rachadura,9.6792,156.9031,29.16,Crítico — intervenção imediata,False
avaria_36.ply,Rachadura,10.2461,559.0170,15.73,Crítico — intervenção imediata,False
avaria_37.ply,Rachadura,11.0589,206.2655,42.88,Crítico — intervenção imediata,False
avaria_38.ply,Rachadura,8.9891,122.3583,3.01,Crítico — intervenção imediata,False
avaria_39.ply,Rachadura,8.2444,16.3871,12.23,Crítico — intervenção imediata,False
avaria_4.ply,Rachadura,10.7745,518.1338,33.31,Crítico — intervenção imediata,False
avaria_40.ply,Rachadura,11.4871,143.3878,35.02,Crítico — intervenção imediata,False
avaria_41.ply,Rachadura,9.7743,122.4797,50.52,Crítico — intervenção imediata,False
avaria_42.ply,Rachadura,6.8821,95.5780,26.34,Crítico — intervenção imediata,False
avaria_5.ply,Rachadura,9.6792,156.9031,29.16,Crítico — intervenção imediata,False
avaria_6.ply,Rachadura,7.4089,16.2872,67.08,Crítico — intervenção imediata,False
avaria_7.ply,Rachadura,6.9047,439.7202,16.14,Crítico — intervenção imediata,False
avaria_9.ply,Rachadura,6.4064,17.1210,78.95,Crítico — intervenção imediata,False
