estrategia,threshold,precision,recall,f1,f1_macro,iou,auroc,avg_precision
F1,0.443983,0.2314,0.2642,0.2467,0.5943,0.1407,0.9011,0.4093
G-mean,0.378947,0.1671,0.4634,0.2457,0.5684,0.14,0.9011,0.4093
F-beta(0.5),0.501543,0.2684,0.1399,0.184,0.5701,0.1013,0.9011,0.4093
