estrategia,threshold,precision,recall,f1,f1_macro,iou,auroc,avg_precision
F1,0.429816,0.2097,0.2172,0.2134,0.578,0.1194,0.8326,0.324
G-mean,0.297731,0.1373,0.5743,0.2216,0.5293,0.1246,0.8326,0.324
F-beta(0.5),0.508364,0.3534,0.1006,0.1566,0.5594,0.0849,0.8326,0.324
