estrategia,threshold,precision,recall,f1,f1_macro,iou,auroc,avg_precision
F1,0.280121,0.1821,0.4072,0.2517,0.5805,0.1439,0.8964,0.265
G-mean,0.22309,0.1619,0.5816,0.2533,0.559,0.145,0.8964,0.265
F-beta(0.5),0.310078,0.1855,0.3271,0.2367,0.5796,0.1343,0.8964,0.265
