arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Rachadura,11.6613,118.4227,5.08,Crítico — intervenção imediata,False
avaria_12.ply,Rachadura,17.8037,19.8933,1.77,Crítico — intervenção imediata,False
avaria_13.ply,Rachadura,15.1625,20.7546,1.57,Crítico — intervenção imediata,False
avaria_17.ply,Rachadura,6.9599,10.5505,2.19,Crítico — intervenção imediata,False
avaria_19.ply,Rachadura,9.1681,160.4326,7.65,Crítico — intervenção imediata,False
avaria_2.ply,Rachadura,8.1100,568.4583,2.44,Crítico — intervenção imediata,False
avaria_20.ply,Rachadura,12.1266,162.4496,24.06,Crítico — intervenção imediata,False
avaria_21.ply,Rachadura,6.3822,49.6458,8.51,Crítico — intervenção imediata,False
avaria_22.ply,Rachadura,13.6518,225.9941,14.65,Crítico — intervenção imediata,False
avaria_23.ply,Rachadura,13.6518,225.9941,14.65,Crítico — intervenção imediata,False
avaria_24.ply,Rachadura,13.5310,311.7251,17.31,Crítico — intervenção imediata,False
avaria_25.ply,Rachadura,13.5310,311.7251,17.31,Crítico — intervenção imediata,False
avaria_26.ply,Rachadura,15.5253,234.9737,21.75,Crítico — intervenção imediata,False
avaria_27.ply,Rachadura,8.9477,19.6194,7.97,Crítico — intervenção imediata,False
avaria_28.ply,Rachadura,8.9315,21.6805,6.28,Crítico — intervenção imediata,False
avaria_29.ply,Rachadura,9.6916,20.5608,8.33,Crítico — intervenção imediata,False
avaria_3.ply,Rachadura,8.0586,413.2392,2.29,Crítico — intervenção imediata,False
avaria_30.ply,Rachadura,9.5735,17.4517,4.61,Crítico — intervenção imediata,False
avaria_31.ply,Rachadura,7.7038,18.6799,5.41,Crítico — intervenção imediata,False
avaria_32.ply,Rachadura,7.8711,124.7050,3.72,Crítico — intervenção imediata,False
avaria_33.ply,Rachadura,8.8453,495.5900,5.16,Crítico — intervenção imediata,False
avaria_34.ply,Rachadura,12.7329,138.7094,0.46,Crítico — intervenção imediata,False
avaria_35.ply,Rachadura,11.4167,174.2112,14.88,Crítico — intervenção imediata,False
avaria_36.ply,Rachadura,11.2239,504.2244,5.83,Crítico — intervenção imediata,False
avaria_37.ply,Rachadura,12.3059,108.7326,2.53,Crítico — intervenção imediata,False
avaria_38.ply,Rachadura,9.9041,114.2598,1.26,Crítico — intervenção imediata,False
avaria_39.ply,Rachadura,8.4050,16.5503,2.75,Crítico — intervenção imediata,False
avaria_4.ply,Rachadura,14.2534,440.8363,1.18,Crítico — intervenção imediata,False
avaria_40.ply,Rachadura,11.4861,162.5679,21.47,Crítico — intervenção imediata,False
avaria_41.ply,Rachadura,11.8191,107.3864,3.72,Crítico — intervenção imediata,False
avaria_42.ply,Rachadura,6.8223,99.1489,11.52,Crítico — intervenção imediata,False
avaria_5.ply,Rachadura,11.4167,174.2112,14.88,Crítico — intervenção imediata,False
avaria_6.ply,Rachadura,8.1614,13.0419,24.30,Crítico — intervenção imediata,False
avaria_7.ply,Rachadura,7.3902,429.4838,5.38,Crítico — intervenção imediata,False
avaria_9.ply,Rachadura,8.8501,18.4042,7.76,Crítico — intervenção imediata,False
