estrategia,threshold,precision,recall,f1,f1_macro,iou,auroc,avg_precision
F1,0.506519,0.9892,0.899,0.942,0.9691,0.8903,0.9524,0.9305
G-mean,0.417207,0.889,0.9183,0.9034,0.9484,0.8238,0.9524,0.9305
F-beta(0.5),0.538331,0.9942,0.8893,0.9388,0.9675,0.8847,0.9524,0.9305
