arquivo,categoria,abertura_mm,profundidade_mm,severidade_pct,risco,conforme_abnt
avaria_10.ply,Rachadura,12.1027,133.4775,17.41,Crítico — intervenção imediata,False
avaria_12.ply,Rachadura,14.2178,26.2510,44.26,Crítico — intervenção imediata,False
avaria_13.ply,Rachadura,12.5424,32.3023,10.29,Crítico — intervenção imediata,False
avaria_17.ply,Rachadura,6.7286,12.0438,5.80,Crítico — intervenção imediata,False
avaria_19.ply,Rachadura,6.9476,149.7974,43.46,Crítico — intervenção imediata,False
avaria_2.ply,Rachadura,7.6034,590.0784,9.89,Crítico — intervenção imediata,False
avaria_20.ply,Rachadura,11.1563,135.7757,60.00,Crítico — intervenção imediata,False
avaria_21.ply,Rachadura,6.0856,41.9904,79.11,Crítico — intervenção imediata,False
avaria_22.ply,Rachadura,12.5564,193.5639,50.73,Crítico — intervenção imediata,False
avaria_23.ply,Rachadura,12.5564,193.5639,50.73,Crítico — intervenção imediata,False
avaria_24.ply,Rachadura,12.4428,290.1219,51.50,Crítico — intervenção imediata,False
avaria_25.ply,Rachadura,12.4428,290.1219,51.50,Crítico — intervenção imediata,False
avaria_26.ply,Rachadura,13.6177,218.4902,65.38,Crítico — intervenção imediata,False
avaria_27.ply,Rachadura,8.9472,19.4270,8.95,Crítico — intervenção imediata,False
avaria_28.ply,Rachadura,8.6894,21.5628,10.58,Crítico — intervenção imediata,False
avaria_29.ply,Rachadura,9.6916,22.2199,14.01,Crítico — intervenção imediata,False
avaria_3.ply,Rachadura,6.6447,446.0889,12.79,Crítico — intervenção imediata,False
avaria_30.ply,Rachadura,9.4280,19.5161,10.80,Crítico — intervenção imediata,False
avaria_31.ply,Rachadura,7.7700,18.8191,10.45,Crítico — intervenção imediata,False
avaria_32.ply,Rachadura,7.4075,134.5963,10.90,Crítico — intervenção imediata,False
avaria_33.ply,Rachadura,6.7414,788.2349,38.30,Crítico — intervenção imediata,False
avaria_34.ply,Rachadura,11.4441,228.4701,6.72,Crítico — intervenção imediata,False
avaria_35.ply,Rachadura,9.8873,164.3672,31.51,Crítico — intervenção imediata,False
avaria_36.ply,Rachadura,10.2458,510.2497,21.03,Crítico — intervenção imediata,False
avaria_37.ply,Rachadura,12.0205,133.9407,30.77,Crítico — intervenção imediata,False
avaria_38.ply,Rachadura,9.6089,121.7643,5.14,Crítico — intervenção imediata,False
avaria_39.ply,Rachadura,7.9586,16.5993,5.61,Crítico — intervenção imediata,False
avaria_4.ply,Rachadura,11.1804,502.2570,18.36,Crítico — intervenção imediata,False
avaria_40.ply,Rachadura,11.4891,158.8500,15.38,Crítico — intervenção imediata,False
avaria_41.ply,Rachadura,10.1454,106.0830,23.75,Crítico — intervenção imediata,False
avaria_42.ply,Rachadura,5.7068,90.9105,43.13,Crítico — intervenção imediata,False
avaria_5.ply,Rachadura,9.8873,164.3672,31.51,Crítico — intervenção imediata,False
avaria_6.ply,Rachadura,7.5290,13.1481,41.54,Crítico — intervenção imediata,False
avaria_7.ply,Rachadura,6.6386,453.5479,15.70,Crítico — intervenção imediata,False
avaria_9.ply,Rachadura,8.6467,20.6220,14.97,Crítico — intervenção imediata,False
