estrategia,threshold,precision,recall,f1,f1_macro,iou,auroc,avg_precision
F1,0.509027,1.0,0.3551,0.5241,0.7514,0.3551,1.0,0.9996
G-mean,0.39926,0.9947,0.3554,0.5237,0.7511,0.3547,1.0,0.9996
F-beta(0.5),0.590331,1.0,0.355,0.5239,0.7513,0.355,1.0,0.9996
