estrategia,threshold,precision,recall,f1,f1_macro,iou,auroc,avg_precision
F1,0.653479,0.9991,0.9994,0.9992,0.9996,0.9985,1.0,0.9994
G-mean,0.551875,0.9969,0.9996,0.9983,0.9991,0.9966,1.0,0.9994
F-beta(0.5),0.653479,0.9991,0.9994,0.9992,0.9996,0.9985,1.0,0.9994
