epoch,loss,contrast_loss,recon_loss,lr
1,0.27557010104258856,0.0,0.27557010104258856,0.0001
2,0.10498245637863875,0.0,0.10498245637863875,9.891830623632339e-05
3,0.03622274119406939,0.0,0.03622274119406939,9.572050015330874e-05
4,0.02428092050055663,0.0,0.02428092050055663,9.05463412215599e-05
5,0.018826465557018914,0.0,0.018826465557018914,8.362196501476348e-05
6,0.015327293177445729,0.0,0.015327293177445729,7.525e-05
7,0.013257463726525505,0.0,0.013257463726525505,6.57963412215599e-05
8,0.011816768907010555,0.0,0.011816768907010555,5.5674158931748854e-05
9,0.01108013535073648,0.0,0.01108013535073648,4.532584106825116e-05
10,0.010133023963620265,0.0,0.010133023963620265,3.5203658778440106e-05
11,0.009692067800400158,0.0,0.009692067800400158,2.5750000000000013e-05
12,0.009359407727606595,0.0,0.009359407727606595,1.7378034985236535e-05
13,0.00918568215953807,0.0,0.00918568215953807,1.0453658778440109e-05
14,0.00905400353949517,0.0,0.00905400353949517,5.279499846691251e-06
15,0.008988746837712825,0.0,0.008988746837712825,2.0816937636766186e-06
16,0.008872404632469019,0.0,0.008872404632469019,0.0001
17,0.007932830097464224,0.0,0.007932830097464224,9.972883382072954e-05
18,0.007377761544194073,0.0,0.007377761544194073,9.891830623632339e-05
19,0.006977150732806573,0.0,0.006977150732806573,9.757729755661011e-05
20,0.006393026308311771,0.0,0.006393026308311771,9.572050015330874e-05
21,0.0062130847092097,0.0,0.0062130847092097,9.336825748732972e-05
22,0.005814628229321291,0.0,0.005814628229321291,9.05463412215599e-05
23,0.005576373256432513,0.0,0.005576373256432513,8.728566886113102e-05
24,0.005460315818587939,0.0,0.005460315818587939,8.362196501476348e-05
25,0.00536773291338856,0.0,0.00536773291338856,7.959536998847742e-05
26,0.005371979748209317,0.0,0.005371979748209317,7.525e-05
27,0.005142829183023423,0.0,0.005142829183023423,7.063346383225212e-05
28,0.0049316140590235594,0.0,0.0049316140590235594,6.57963412215599e-05
29,0.005087624348622436,0.0,0.005087624348622436,6.079162869547908e-05
30,0.004912983401057621,0.0,0.004912983401057621,5.5674158931748854e-05
31,0.24826636055367998,0.35255403990546863,0.004928453569300472,5.0500000000000015e-05
32,0.22239591362789118,0.31523059656222663,0.00578166120685637,4.532584106825116e-05
33,0.19416591670305933,0.27452223698298134,0.006667848133171598,4.020837130452091e-05
34,0.1578007745653546,0.22218185688058537,0.0075782540797566375,3.5203658778440106e-05
35,0.11892419344900797,0.16644190885126592,0.008049531653523446,3.0366536167747902e-05
36,0.09134401988897783,0.12679637869199117,0.008621856512036175,2.5750000000000013e-05
37,0.07660254437165956,0.1057381079842647,0.008619566583850732,2.1404630011522586e-05
38,0.06826586102445921,0.09386722538620233,0.008529346238356083,1.7378034985236535e-05
39,0.0634650657089272,0.08703825268894434,0.008460963602798681,1.3714331138868997e-05
40,0.06021317418005007,0.08238270164777835,0.008484278634811441,1.0453658778440109e-05
41,0.058161758950639825,0.07948734617481629,0.008402058742164323,7.631742512670284e-06
42,0.0567692795166901,0.07748916273315748,0.008422886944996814,5.279499846691251e-06
43,0.05589782136958092,0.07626105329642693,0.008383615574954699,3.4227024433899e-06
44,0.05532938736238672,0.07543947740147511,0.008405843924265355,2.0816937636766186e-06
45,0.05499456230318174,0.07496816279987494,0.00838949712148557,1.2711661792704665e-06
46,0.053477972661494275,0.07283000772198041,0.008323226609112075,0.0001
47,0.04948583313768419,0.06683573617289464,0.009002727099383871,9.99321619703514e-05
48,0.04131777527218219,0.05593494378651182,0.007211049634497613,9.972883382072954e-05
49,0.036542749898702216,0.04900053585879505,0.007474583674532672,9.939057285945933e-05
50,0.03204963805037551,0.04274971002402405,0.007082804680491487,9.891830623632339e-05
