tipo,chave,valor
categoria,Rachadura,32
risco,Crítico — intervenção imediata,32
resumo,pct_conforme_abnt,0.0%
resumo,limite_abnt_mm,0.2
resumo,caa,CAA_III_IV
resumo,n_nuvens_avaliadas,32
