estrategia,threshold,precision,recall,f1,f1_macro,iou,auroc,avg_precision
F1,0.627082,0.2246,0.5592,0.3205,0.618,0.1908,0.773,0.2965
G-mean,0.589742,0.191,0.6364,0.2938,0.5907,0.1722,0.773,0.2965
F-beta(0.5),0.896256,0.9419,0.1451,0.2515,0.6115,0.1438,0.773,0.2965
