loss,lr,sup_loss
0.6420143863984517,0.0001,
0.4383131340146065,9.891830623632339e-05,
0.32109830741371426,9.572050015330874e-05,
0.2507521552698953,9.05463412215599e-05,
0.2012562538896288,8.362196501476348e-05,
0.1665161299918379,7.525e-05,
0.1456033347972802,6.57963412215599e-05,
0.13242831586727075,5.5674158931748854e-05,
0.12143741202141557,4.532584106825116e-05,
0.11407549998589925,3.5203658778440106e-05,
0.10952889094395298,2.5750000000000013e-05,
0.10558849120778697,1.7378034985236535e-05,
0.1041679536657674,1.0453658778440109e-05,
0.10333710296877793,5.279499846691251e-06,
0.10247449896165303,2.0816937636766186e-06,
0.0965585293514388,0.0001,
0.08796362898179463,9.972883382072954e-05,
0.08027389512530395,9.891830623632339e-05,
0.07468503660389356,9.757729755661011e-05,
0.07041456018175397,9.572050015330874e-05,
0.06766632252505847,9.336825748732972e-05,
0.06597935248698507,9.05463412215599e-05,
0.06414889491030148,8.728566886113102e-05,
0.06283118562506777,8.362196501476348e-05,
0.06182168676917042,7.959536998847742e-05,
0.060978785689388006,7.525e-05,
0.0596620717218944,7.063346383225212e-05,
0.05900756389434848,6.57963412215599e-05,
0.05799825396388769,6.079162869547908e-05,
0.05775073450058699,5.5674158931748854e-05,
0.05696848886353629,5.0500000000000015e-05,
0.05680521351418325,4.532584106825116e-05,
0.05649185287100928,4.020837130452091e-05,
0.05614689098937171,3.5203658778440106e-05,
0.05599002646548407,3.0366536167747902e-05,
0.055820794110851626,2.5750000000000013e-05,
0.05572803079017571,2.1404630011522586e-05,
0.055537275304751735,1.7378034985236535e-05,
0.055475376812475066,1.3714331138868997e-05,
0.05524394900671074,1.0453658778440109e-05,
0.05526686592825821,7.631742512670284e-06,
0.05510922454829727,5.279499846691251e-06,
0.055208941256361346,3.4227024433899e-06,
0.055004473376486986,2.0816937636766186e-06,
0.05495862755924463,1.2711661792704665e-06,
0.054925039277545044,0.0001,
0.05458116331802947,9.99321619703514e-05,
0.05374343812997852,9.972883382072954e-05,
0.05341744249952691,9.939057285945933e-05,
0.0534737440092223,9.891830623632339e-05,
0.05313647631555796,2.9493998520392662e-05,0.7455201743230704
0.05530513570244823,9.757729755661011e-05,0.7493545857648696
0.0827595576910036,9.671223111161149e-05,0.7466851258950848
0.06767076027712651,9.572050015330874e-05,0.7456176005183689
0.0904678257980517,9.460482294732421e-05,0.7449692596471117
0.061231808470828195,9.336825748732972e-05,0.7430396136497298
0.06712473277002573,9.20141931132985e-05,0.7408260882741982
0.065958082942026,9.05463412215599e-05,0.7385053062030384
0.0621495120493429,8.896872509212006e-05,0.7364842286033015
0.0609136489885194,8.728566886113102e-05,0.7336972881589205
0.06238497141748667,8.55017856687341e-05,0.7336247326025078
0.0573564347411905,8.362196501476348e-05,0.7329743896881419
0.056353108558271615,8.165135935696696e-05,0.7005330048982175
0.056173208967915604,7.959536998847742e-05,0.7315095090457508
0.05612374855471509,7.745963223324384e-05,0.7304302002153089
0.05625508738947766,7.525e-05,0.6985560121435311
0.05613824485668114,7.297252973710757e-05,0.7301428970550338
0.05667562649718353,7.063346383225212e-05,0.7302603687370016
0.05501953286251852,6.823921350249237e-05,0.6974091300921094
0.05493841000965664,6.57963412215599e-05,0.7280544931249272
0.055402066957737715,6.331154273257477e-05,0.7278198647282778
0.05459394212812185,6.079162869547908e-05,0.7275347303478948
0.054835494607686996,5.8243506019491436e-05,0.7278467592212462
0.05520555470138788,5.5674158931748854e-05,0.725797085512069
0.054406761191785336,5.3090629834025715e-05,0.6945326417203872
0.05453356754566942,5.0500000000000015e-05,0.7279253034221549
0.054817511567047665,4.7909370165974294e-05,0.7234270004255157
0.05389089150620358,4.532584106825116e-05,0.7233107718488863
0.05423469814871039,4.275649398050857e-05,0.7248829358047054
0.054036440061671395,4.020837130452091e-05,0.7225701847384053
0.05365072190761566,3.768845726742523e-05,0.7216415927414933
0.054016051281775744,3.5203658778440106e-05,0.7206335014273082
0.05365537106990814,3.2760786497507636e-05,0.687443895445716
