loss,lr
0.7378799371859607,0.0001
0.5536516668165431,9.891830623632339e-05
0.42265499076422525,9.572050015330874e-05
0.3347415073829539,9.05463412215599e-05
0.2717508112683016,8.362196501476348e-05
0.22900751101620057,7.525e-05
0.20107477508923588,6.57963412215599e-05
0.18174994736909866,5.5674158931748854e-05
0.16897280777201934,4.532584106825116e-05
0.15978621559984543,3.5203658778440106e-05
0.1541563859757255,2.5750000000000013e-05
0.14987359853351817,1.7378034985236535e-05
0.14786241597989025,1.0453658778440109e-05
0.14616461514550097,5.279499846691251e-06
0.145451651119134,2.0816937636766186e-06
0.1395645202959285,0.0001
0.1271170235293753,9.972883382072954e-05
0.11718898376121241,9.891830623632339e-05
0.11040904526324834,9.757729755661011e-05
0.10391559649039717,9.572050015330874e-05
0.09835138434872907,9.336825748732972e-05
0.09437191486358643,9.05463412215599e-05
0.09137664209393893,8.728566886113102e-05
0.08831762106103055,8.362196501476348e-05
0.08568443796213936,7.959536998847742e-05
0.08388749290915097,7.525e-05
0.08119219552506418,7.063346383225212e-05
0.07955982864779584,6.57963412215599e-05
0.0784086194985053,6.079162869547908e-05
0.07693210540010649,5.5674158931748854e-05
0.07560653590104159,5.0500000000000015e-05
0.07438781419221092,4.532584106825116e-05
0.0740482486127054,4.020837130452091e-05
0.07341881611329668,3.5203658778440106e-05
0.07302151324556154,3.0366536167747902e-05
0.07247326796983972,2.5750000000000013e-05
0.07158332066062618,2.1404630011522586e-05
0.07119751831187922,1.7378034985236535e-05
0.07085763739750665,1.3714331138868997e-05
0.0707489401102066,1.0453658778440109e-05
0.07060143088593203,7.631742512670284e-06
0.07007587909260217,5.279499846691251e-06
0.07046799569883767,3.4227024433899e-06
0.07018478784491033,2.0816937636766186e-06
0.07026585366796045,1.2711661792704665e-06
0.0698483821881168,0.0001
0.06830801650443498,9.99321619703514e-05
0.06625399541328936,9.972883382072954e-05
0.06377055265885942,9.939057285945933e-05
0.06173447278492591,9.891830623632339e-05
0.06017843513366054,9.831332840130888e-05
0.05873140528359834,9.757729755661011e-05
0.058200590312480927,9.671223111161149e-05
0.05690233190270031,9.572050015330874e-05
0.05626194836462245,9.460482294732421e-05
0.05538712398094289,9.336825748732972e-05
0.05476764786769362,9.20141931132985e-05
0.05451719331390718,9.05463412215599e-05
0.05362148188492831,8.896872509212006e-05
0.05314928457579192,8.728566886113102e-05
0.05297421072335804,8.55017856687341e-05
0.05252444218186771,8.362196501476348e-05
0.052335781757445896,8.165135935696696e-05
0.052112732740009535,7.959536998847742e-05
0.051750563632916004,7.745963223324384e-05
0.05161597831722568,7.525e-05
0.051179833271924186,7.297252973710757e-05
0.050844501265708136,7.063346383225212e-05
0.050663231817238474,6.823921350249237e-05
0.05042186127427746,6.57963412215599e-05
0.050152803606846756,6.331154273257477e-05
0.05006889922215658,6.079162869547908e-05
0.050031953436486865,5.8243506019491436e-05
0.04973283059456769,5.5674158931748854e-05
0.04935597299652941,5.3090629834025715e-05
0.04919195975012639,1.5150000000000004e-05
0.04921240841641145,4.7909370165974294e-05
0.04905147521811373,4.532584106825116e-05
0.04882854617693845,4.275649398050857e-05
0.04889374522163587,4.020837130452091e-05
0.04892293341896113,3.768845726742523e-05
0.048813717330203336,3.5203658778440106e-05
0.04848805310971597,3.2760786497507636e-05
0.04820861152428038,3.0366536167747902e-05
0.048274619833511466,2.8027470262892437e-05
0.04835278234061073,2.5750000000000013e-05
0.047950957627857435,2.3540367766756178e-05
0.04798907501732602,2.1404630011522586e-05
0.047871730345136976,1.9348640643033057e-05
0.04780692004543893,1.7378034985236535e-05
0.04752178687383147,1.54982143312659e-05
0.04718734039103284,1.3714331138868997e-05
0.04752087834126809,1.2031274907879942e-05
0.04741296807632727,1.0453658778440109e-05
0.047611686565420204,8.985806886701515e-06
0.04762409934226204,7.631742512670284e-06
0.047648191890295816,6.395177052675795e-06
0.04754935117328868,5.279499846691251e-06
0.04753745204823859,4.287768888388514e-06
0.047382130561506045,3.4227024433899e-06
0.047587181386702204,2.6866715986911185e-06
0.0474880217191051,2.0816937636766186e-06
0.04741781456943821,1.6094271405406859e-06
0.04715372304267743,1.2711661792704665e-06
0.047407667426502,1.0678380296485951e-06
0.04746367278344491,0.0001
0.04729445278644562,9.998303758629009e-05
0.047159951947191185,9.99321619703514e-05
0.046719820950837695,9.984740801978984e-05
0.046397476292708344,9.972883382072954e-05
0.04607650681453593,9.957652063800363e-05
0.04598286364446668,9.939057285945933e-05
0.04574175639187589,9.917111792441576e-05
0.04551770275129991,9.891830623632339e-05
0.04507324691204464,9.8632311059685e-05
0.045082985478288984,9.831332840130888e-05
0.04466802692588638,9.796157687597556e-05
0.04468706250190735,9.757729755661011e-05
0.044213897055562806,9.716075380906284e-05
0.0440838176976232,9.671223111161149e-05
0.04382104426622391,9.623203685930869e-05
0.043678799534545225,9.572050015330874e-05
0.04372141696512699,9.517797157531811e-05
0.0437297789270387,9.460482294732421e-05
0.043470155119019395,9.400144707676729e-05
0.04345737649675678,9.336825748732972e-05
0.04281327643376939,9.270568813552756e-05
0.043428950997836446,9.20141931132985e-05
0.0431354752577403,9.129424633678978e-05
0.042442936888512445,9.05463412215599e-05
0.04243595963891815,8.977099034441615e-05
0.042677934884148484,8.896872509212006e-05
0.042514409322072476,8.814009529720155e-05
0.04212921145646011,8.728566886113102e-05
0.0420454689027632,8.640603136510824e-05
0.04189699877272634,8.55017856687341e-05
0.04191739287446527,8.457355149684082e-05
0.04164838254013482,8.362196501476348e-05
0.04152809428598951,8.26476783923441e-05
0.041324955630390084,8.165135935696696e-05
0.041546163642231154,8.063369073593168e-05
0.0412933383246555,7.959536998847742e-05
0.04121137125527158,7.853710872777923e-05
0.04083844679681694,7.745963223324384e-05
0.0407966224147993,7.636367895343946e-05
0.04070486528251101,7.525e-05
0.04073562763412209,7.411935863285063e-05
0.040819291956722736,7.297252973710757e-05
0.04053691276075209,7.181029929201061e-05
0.0403801176477881,7.063346383225212e-05
