loss,lr
0.5949761604561525,0.0001
0.43968260726507974,9.891830623632339e-05
0.3370186967008254,9.572050015330874e-05
0.2715257919009994,9.05463412215599e-05
0.2297250475077068,8.362196501476348e-05
0.20033802793306463,7.525e-05
0.1801413959440063,6.57963412215599e-05
0.16509465215837255,5.5674158931748854e-05
0.1550292810972999,4.532584106825116e-05
0.14853517053758397,3.5203658778440106e-05
0.14305393485461965,2.5750000000000013e-05
0.14001274086973248,1.7378034985236535e-05
0.13748309827026198,1.0453658778440109e-05
0.13615860921495102,5.279499846691251e-06
0.13621809092514656,2.0816937636766186e-06
0.1312640839639832,0.0001
0.12050207090728424,9.972883382072954e-05
0.11197805054047529,9.891830623632339e-05
0.10471360911341275,9.757729755661011e-05
0.0985338674748645,9.572050015330874e-05
0.09381283929242808,9.336825748732972e-05
0.08907594422207159,9.05463412215599e-05
0.08626860982793219,8.728566886113102e-05
0.08231816506561111,8.362196501476348e-05
0.07925761907416232,7.959536998847742e-05
0.07698473191874869,7.525e-05
0.0749790722175556,7.063346383225212e-05
0.07313860087271999,6.57963412215599e-05
0.07125338408000328,6.079162869547908e-05
0.07022942493067068,5.5674158931748854e-05
0.06852560161667712,5.0500000000000015e-05
0.06738842169151586,4.532584106825116e-05
0.06684041669701829,4.020837130452091e-05
0.06571583931936938,1.0561097633532031e-05
0.06555997591246576,3.0366536167747902e-05
0.06489288423429518,2.5750000000000013e-05
0.06432443166918614,2.1404630011522586e-05
0.06408326941377976,1.7378034985236535e-05
0.06402647878755541,1.3714331138868997e-05
0.06346475135754137,1.0453658778440109e-05
0.06353048684404176,7.631742512670284e-06
0.06334398018524927,5.279499846691251e-06
0.0632935051313218,3.4227024433899e-06
0.06309842942830395,2.0816937636766186e-06
0.06277214133125894,1.2711661792704665e-06
0.06224571946350967,0.0001
0.06119972839951515,9.99321619703514e-05
0.0590091287432348,9.972883382072954e-05
0.057275534443118996,9.939057285945933e-05
0.05611249673015931,9.891830623632339e-05
0.05474428953055073,9.831332840130888e-05
0.053492940852747244,9.757729755661011e-05
0.052591143066392225,9.671223111161149e-05
0.051767279120052564,9.572050015330874e-05
0.050750149194808566,9.460482294732421e-05
0.04974354025633896,9.336825748732972e-05
0.048405331285560835,9.20141931132985e-05
0.04786233083509347,9.05463412215599e-05
0.04711118066573844,8.896872509212006e-05
0.0463793282123173,8.728566886113102e-05
0.04570025096044821,8.55017856687341e-05
0.04559747655602062,8.362196501476348e-05
0.045236305607592356,8.165135935696696e-05
0.04484619348145583,7.959536998847742e-05
0.044624020016806966,7.745963223324384e-05
0.04427699070862111,7.525e-05
0.04369340354905409,7.297252973710757e-05
0.04382062517106533,7.063346383225212e-05
0.04319362802540555,6.823921350249237e-05
0.042948691393522656,6.57963412215599e-05
0.04257629893939285,6.331154273257477e-05
0.04253486960249789,6.079162869547908e-05
0.0424690026899471,5.8243506019491436e-05
0.04218406936920741,5.5674158931748854e-05
0.041942485060323685,5.3090629834025715e-05
0.0417993376031518,5.0500000000000015e-05
0.0416039697935476,4.7909370165974294e-05
0.04091525066863088,4.532584106825116e-05
0.04105696230031112,4.275649398050857e-05
0.041072251658667534,4.020837130452091e-05
0.040893558193655574,3.768845726742523e-05
0.04071556924677947,3.5203658778440106e-05
0.0407723421778749,3.2760786497507636e-05
0.04049682535011979,3.0366536167747902e-05
0.04025108767125536,2.8027470262892437e-05
0.040243576116421646,2.5750000000000013e-05
0.04000491785871632,2.3540367766756178e-05
0.03975519844714333,2.1404630011522586e-05
0.04007999494890956,1.9348640643033057e-05
0.03989072439863401,1.7378034985236535e-05
0.039962390437722206,1.54982143312659e-05
0.039750963778180236,1.3714331138868997e-05
0.039675698232124836,1.2031274907879942e-05
0.039738417767426544,1.0453658778440109e-05
0.03978212566717582,8.985806886701515e-06
0.03927783613257548,7.631742512670284e-06
0.03963876751196735,6.395177052675795e-06
0.039566869244855994,5.279499846691251e-06
0.03947309273130754,4.287768888388514e-06
0.03939938298700487,3.4227024433899e-06
