estrategia,precision,recall,f1,iou,auroc,threshold
Min-Max  [G-mean],0.9434164902267637,0.997372348017907,0.9696444058976583,0.9410774410774411,0.9994018676184995,0.6356656551361084
Min-Max  [F1]    ,0.9637142497165175,0.9925387659767728,0.9779141496468182,0.9567827881668647,0.9994018676184995,0.6681722402572632
Rank-Norm[G-mean],0.1696827275482141,0.9627262700317913,0.2885141671081989,0.16857525873919316,0.9608832295491365,0.8248134851455688
Rank-Norm[F1]    ,0.3790299277605779,0.595730876532797,0.46329279983853877,0.30148410822169686,0.9608832295491365,0.9514975547790527
