filename,auroc,f1,ap,n_crack,n_normal,threshold
avaria_10.ply,0.9999,0.9995,0.9994,1056,6915,0.6506
avaria_12.ply,0.986,0.8133,0.6854,440,7196,1.0
avaria_13.ply,0.8716,0.3581,0.2181,794,11086,1.0
avaria_17.ply,0.543,0.1089,0.0534,1020,23347,1.0
avaria_19.ply,0.9049,0.6503,0.5884,2832,20082,0.9984
avaria_2.ply,1.0,1.0,1.0,802,23186,0.9825
avaria_20.ply,0.965,0.43,0.2704,351,15158,1.0
avaria_21.ply,0.611,0.1924,0.0778,94,1457,0.0
avaria_22.ply,0.9426,0.4648,0.2375,440,13023,0.9996
avaria_24.ply,0.9202,0.506,0.2763,809,12400,0.9968
avaria_26.ply,0.8029,0.4061,0.2151,736,10080,0.999
avaria_27.ply,0.9037,0.306,0.1313,295,15532,0.8702
avaria_28.ply,0.9271,0.4064,0.186,325,14530,0.9515
avaria_29.ply,0.9536,0.3918,0.1592,157,13990,0.208
avaria_3.ply,1.0,1.0,1.0,985,22939,0.9893
avaria_30.ply,0.963,0.6967,0.4319,577,20153,0.435
avaria_31.ply,0.9949,0.9084,0.8322,382,7564,1.0
avaria_32.ply,0.0029,0.0297,0.0078,355,23218,0.0
avaria_33.ply,0.5545,0.1663,0.0783,1723,21947,0.0
avaria_34.ply,1.0,1.0,1.0,1306,14683,0.8554
avaria_35.ply,1.0,0.9999,1.0,3379,14483,0.6613
avaria_36.ply,0.8047,0.3238,0.1969,1251,13904,0.9997
avaria_37.ply,0.9742,0.836,0.6115,492,5583,0.9996
avaria_38.ply,0.9679,0.6625,0.3252,588,18623,1.0
avaria_39.ply,0.9585,0.3506,0.2126,395,17612,1.0
avaria_4.ply,0.9999,0.9992,0.9967,1826,14849,0.9595
avaria_40.ply,0.7036,0.1999,0.1111,627,8468,1.0
avaria_41.ply,1.0,1.0,1.0,3765,12590,0.0638
avaria_6.ply,1.0,1.0,1.0,906,4270,0.6939
avaria_7.ply,1.0,1.0,1.0,1161,22762,0.9996
avaria_9.ply,0.9334,0.5074,0.34,957,13941,1.0
